11/27/2016,COMPASS BANK,11
11/27/2016,Fifth Third Bank,10
11/27/2016,BRANCH BANKING and TRUST CO,10
11/27/2016,State Employees' Credit Union,9
11/28/2016,Bank of America,554
11/28/2016,Chase,492
11/28/2016,Wells Fargo Bank,440
11/28/2016,American Express,169
11/28/2016,listing below.  There is no,110
11/28/2016,U.S. Bank,95
11/28/2016,NAVY FEDERAL CREDIT UNION,89
11/28/2016,Capital One,89
11/28/2016,Citi\u00AE,66
11/28/2016,PNC BANK,61
11/28/2016,Citibank®,40
11/28/2016,USAA Federal Savings Bank,30
11/28/2016,TD Bank,29
11/28/2016,Regions Bank,28
11/28/2016,Citibank,24
11/28/2016,SunTrust,21
11/28/2016,BRANCH BANKING and TRUST CO,18
11/28/2016,TCF NATIONAL BANK,13
11/28/2016,State Employees' Credit Union,13
11/28/2016,Fifth Third Bank,11
11/29/2016,Bank of America,570
11/29/2016,Chase,562
11/29/2016,Wells Fargo Bank,386
11/29/2016,American Express,176
11/29/2016,listing below.  There is no,121
11/29/2016,Capital One,104
11/29/2016,U.S. Bank,101
11/29/2016,PNC BANK,68
11/29/2016,NAVY FEDERAL CREDIT UNION,62
11/29/2016,Citi\u00AE,55
11/29/2016,USAA Federal Savings Bank,34
11/29/2016,TD Bank,34
11/29/2016,SunTrust,31
11/29/2016,Citibank®,31
11/29/2016,Citibank,26
11/29/2016,Regions Bank,25
11/29/2016,America First Credit Union,12
11/29/2016,BRANCH BANKING and TRUST CO,11
11/29/2016,TCF NATIONAL BANK,10
11/29/2016,Elan Financial Services Fidelity,10
11/30/2016,Bank of America,570
11/30/2016,Chase,553
11/30/2016,Wells Fargo Bank,435
11/30/2016,American Express,188
11/30/2016,listing below.  There is no,123
11/30/2016,Capital One,105
11/30/2016,U.S. Bank,89
11/30/2016,PNC BANK,79
11/30/2016,NAVY FEDERAL CREDIT UNION,77
11/30/2016,Citi\u00AE,67
11/30/2016,Citibank®,48
11/30/2016,TD Bank,41
11/30/2016,Citibank,36
11/30/2016,USAA Federal Savings Bank,32
11/30/2016,Regions Bank,26
11/30/2016,SunTrust,23
11/30/2016,State Employees' Credit Union,15
11/30/2016,BRANCH BANKING and TRUST CO,14
11/30/2016,KeyBank,11
11/30/2016,TCF NATIONAL BANK,9
12/1/2016,Bank of America,686
12/1/2016,Chase,534
12/1/2016,Wells Fargo Bank,369
12/1/2016,Capital One,309
12/1/2016,American Express,177
12/1/2016,listing below.  There is no,119
12/1/2016,U.S. Bank,118
12/1/2016,SunTrust,110
12/1/2016,Fifth Third Bank,92
12/1/2016,Citi\u00AE,92
12/1/2016,PNC BANK,70
12/1/2016,Citibank®,65
12/1/2016,KeyBank,55
12/1/2016,NAVY FEDERAL CREDIT UNION,51
12/1/2016,Citibank,35
12/1/2016,RBFCU,30
12/1/2016,TD Bank,29
12/1/2016,Security Service Federal Credit Union,28
12/1/2016,USAA Federal Savings Bank,26
12/1/2016,Regions Bank,20
12/2/2016,Bank of America,734
12/2/2016,Chase,558
12/2/2016,Wells Fargo Bank,388
12/2/2016,Capital One,284
12/2/2016,SunTrust,271
12/2/2016,Fifth Third Bank,246
12/2/2016,American Express,181
12/2/2016,Citi\u00AE,148
12/2/2016,KeyBank,129
