Date,Issuer,Count
2016-11-22,NAVY FEDERAL CREDIT UNION,69
2016-11-22,State Employees' Credit Union,13
2016-11-22,KeyBank,22
2016-11-22,Citibank®,53
2016-11-22,TD Bank,29
2016-11-22,RBFCU,15
2016-11-22,USAA Federal Savings Bank,20
2016-11-22,Regions Bank,18
2016-11-22,Fifth Third Bank,51
2016-11-22,SunTrust,55
2016-11-22,Citibank,25
2016-11-23,U.S. Bank,99
2016-11-23,PNC BANK,66
2016-11-23,Capital One,77
2016-11-23,Chase,578
2016-11-23,Bank of America,541
2016-11-23,American Express,207
2016-11-23,Citi\u00AE,72
2016-11-23,Wells Fargo Bank,414
2016-11-23,NAVY FEDERAL CREDIT UNION,60
2016-11-23,listing below.  There is no,122
2016-11-23,TCF NATIONAL BANK,12
2016-11-23,Regions Bank,31
2016-11-23,Fifth Third Bank,13
2016-11-23,COMPASS BANK,11
2016-11-23,TD Bank,30
2016-11-23,SunTrust,27
2016-11-23,BRANCH BANKING and TRUST CO,10
2016-11-23,USAA Federal Savings Bank,21
2016-11-23,Citibank®,40
2016-11-23,Citibank,29
2016-11-24,Wells Fargo Bank,362
2016-11-24,American Express,161
2016-11-24,Bank of America,437
2016-11-24,Chase,470
2016-11-24,PNC BANK,61
2016-11-24,NAVY FEDERAL CREDIT UNION,60
2016-11-24,U.S. Bank,75
2016-11-24,Capital One,74
2016-11-24,Citi\u00AE,78
2016-11-24,listing below.  There is no,108
2016-11-24,TCF NATIONAL BANK,12
2016-11-24,USAA Federal Savings Bank,23
2016-11-24,Citibank,31
2016-11-24,SunTrust,18
2016-11-24,Citibank®,39
2016-11-24,State Employees' Credit Union,11
2016-11-24,Regions Bank,15
2016-11-24,BRANCH BANKING and TRUST CO,13
2016-11-24,Fifth Third Bank,12
2016-11-24,TD Bank,22
2016-11-25,Chase,629
2016-11-25,Capital One,106
2016-11-25,Citi\u00AE,75
2016-11-25,PNC BANK,65
2016-11-25,listing below.  There is no,135
2016-11-25,U.S. Bank,97
2016-11-25,Wells Fargo Bank,290
